year,song,link,artist,Genre,Length,Language,Label,Page_Exists
1975,May 31,,"""Before the Next Teardrop Falls""",,,,,No
1975,June 7,,"""Thank God I'm a Country Boy""",,,,,No
1975,June 14,,"""Sister Golden Hair""",,,,,No
1975,June 21,,"""Love Will Keep Us Together""",,,,,No
1975,July 19,,"""Listen to What the Man Said""",,,,,No
1975,July 26,,"""The Hustle""",,,,,No
1975,August 2,,"""One of These Nights""",,,,,No
1975,August 9,,"""Jive Talkin'""",,,,,No
1975,August 23,,"""Fallin' in Love""",,,,,No
1975,August 30,,"""Get Down Tonight""",,,,,No
1975,September 6,,"""Rhinestone Cowboy""",,,,,No
1975,September 20,,"""Fame""",,,,,No
1975,September 27,,"""I'm Sorry""",,,,,No
1975,October 4,,"""Fame""",,,,,No
1975,October 11,,"""Bad Blood""",,,,,No
1975,November 1,,"""Island Girl""",,,,,No
1975,November 22,,"""That's the Way (I Like It)""",,,,,No
1975,November 29,,"""Fly, Robin, Fly""",,,,,No
1975,December 20,,"""That's the Way (I Like It)""",,,,,No
1975,December 27,,"""Let's Do It Again""",,,,,No
1975,Elton John,,7,,,,,No
1975,Captain & Tennille,,4,,,,,No
1975,Tony Orlando and Dawn,,3,,,,,No
1975,Eagles,,2,,,,,No
1975,Barry Manilow,,1,,,,,No
1976,January 3,,"""Saturday Night""",,,,,No
1976,January 10,,"""Convoy""",,,,,No
1976,January 17,,"""I Write the Songs""",,,,,No
1976,January 24,,"""Theme from Mahogany (Do You Know Where You're Going To)""",,,,,No
1976,January 31,,"""Love Rollercoaster""",,,,,No
1976,February 7,,"""50 Ways to Leave Your Lover""",,,,,No
1976,February 28,,"""Theme from S.W.A.T.""",,,,,No
1976,March 6,,"""Love Machine""",,,,,No
1976,March 13,,"""December, 1963 (Oh, What a Night)""",,,,,No
1976,April 3,,"""Disco Lady""",,,,,No
1976,May 1,,"""Let Your Love Flow""",,,,,No
1976,May 8,,"""Welcome Back""",,,,,No
1976,May 15,,"""Boogie Fever""",,,,,No
1976,May 22,,"""Silly Love Songs""",,,,,No
1976,May 29,,"""Love Hangover""",,,,,No
1976,June 12,,"""Silly Love Songs""",,,,,No
1976,July 10,,"""Afternoon Delight""",,,,,No
1976,July 24,,"""Kiss and Say Goodbye""",,,,,No
1976,August 7,,"""Don't Go Breaking My Heart""",,,,,No
1976,September 4,,"""You Should Be Dancing""",,,,,No
1976,September 11,,"""(Shake, Shake, Shake) Shake Your Booty""",,,,,No
1976,September 18,,"""Play That Funky Music""",,,,,No
1976,October 9,,"""A Fifth of Beethoven""",,,,,No
1976,October 16,,"""Disco Duck""",,,,,No
1976,October 23,,"""If You Leave Me Now""",,,,,No
1976,November 6,,"""Rock'n Me""",,,,,No
1976,November 13,,"""Tonight's the Night (Gonna Be Alright)""",,,,,No
1976,Rod Stewart,,7,,,,,No
1976,Wings,,5,,,,,No
1976,Johnnie Taylor,,4,,,,,No
1976,Paul Simon,,3,,,,,No
1976,Starland Vocal Band,,2,,,,,No
1976,Bay City Rollers,,1,,,,,No
1977,January 1*,,"""Tonight's the Night (Gonna Be Alright)""",,,,,No
1977,January 8,,"""You Don't Have to Be a Star (To Be in My Show)""",,,,,No
1977,January 15,,"""You Make Me Feel Like Dancing""",,,,,No
1977,January 22,,"""I Wish""",,,,,No
1977,January 29,,"""Car Wash""",,,,,No
1977,February 5,,"""Torn Between Two Lovers""",,,,,No
1977,February 19,,"""Blinded by the Light""",,,,,No
1977,February 26,,"""New Kid in Town""",,,,,No
1977,March 5,,"""Evergreen (Love Theme from A Star Is Born)""",,,,,No
1977,March 26,,"""Rich Girl""",,,,,No
1977,April 9,,"""Dancing Queen""",,,,,No
1977,April 16,,"""Don't Give Up on Us""",,,,,No
1977,April 23,,"""Don't Leave Me This Way""",,,,,No
1977,April 30,,"""Southern Nights""",,,,,No
1977,May 7,,"""Hotel California""",,,,,No
1977,May 14,,"""When I Need You""",,,,,No
1977,May 21,,"""Sir Duke""",,,,,No
1977,June 11,,"""I'm Your Boogie Man""",,,,,No
1977,June 18,,"""Dreams""",,,,,No
1977,June 25,,"""Got to Give It Up""",,,,,No
1977,July 2,,"""Gonna Fly Now (Theme From Rocky)""",,,,,No
1977,July 9,,"""Undercover Angel""",,,,,No
1977,July 16,,"""Da Doo Ron Ron""",,,,,No
1977,July 23,,"""Looks Like We Made It""",,,,,No
1977,July 30,,"""I Just Want to Be Your Everything""",,,,,No
1977,August 20,,"""Best of My Love""",,,,,No
1977,September 17,,"""I Just Want to Be Your Everything""",,,,,No
1977,September 24,,"""Best of My Love""",,,,,No
1977,October 1,,"""Star Wars Theme/Cantina Band""",,,,,No
1977,October 15,,"""You Light Up My Life""",,,,,No
1977,December 24,,"""How Deep Is Your Love""",,,,,No
1977,Debby Boone,,10,,,,,No
1977,The Emotions,,5,,,,,No
1977,Stevie Wonder,,4,,,,,No
1977,Barbra Streisand,,3,,,,,No
1977,Mary MacGregor,,2,,,,,No
1977,Rod Stewart,,1,,,,,No
1978,January 7,,"""How Deep Is Your Love""",,,,,No
1978,January 14,,"""Baby Come Back""",,,,,No
1978,February 4,,"""Stayin' Alive""",,,,,No
1978,March 4,,"""(Love Is) Thicker Than Water""",,,,,No
1978,March 18,,"""Night Fever""",,,,,No
1978,May 13,,"""If I Can't Have You""",,,,,No
1978,May 20,,"""With a Little Luck""",,,,,No
1978,June 3,,"""Too Much, Too Little, Too Late""",,,,,No
1978,June 10,,"""You're the One That I Want""",,,,,No
1978,June 17,,"""Shadow Dancing""",,,,,No
1978,August 5,,"""Miss You""",,,,,No
1978,August 12,,"""Three Times a Lady""",,,,,No
1978,August 26,,"""Grease""",,,,,No
1978,September 9,,"""Boogie Oogie Oogie""",,,,,No
1978,September 30,,"""Kiss You All Over""",,,,,No
1978,October 28,,"""Hot Child in the City""",,,,,No
1978,November 4,,"""You Needed Me""",,,,,No
1978,November 11,,"""MacArthur Park""",,,,,No
1978,December 2,,"""You Don't Bring Me Flowers""",,,,,No
1978,December 9,,"""Le Freak""",,,,,No
1978,December 16,,"""You Don't Bring Me Flowers""",,,,,No
1978,December 23,,"""Le Freak""",,,,,No
1978,Bee Gees,,13,,,,,No
1978,Andy Gibb,,9,,,,,No
1978,Exile,,4,,,,,No
1978,Player,,3,,,,,No
1978,Wings,,2,,,,,No
1978,Yvonne Elliman,,1,,,,,No
1979,January 6,,"""Too Much Heaven""",,,,,No
1979,January 20,,"""Le Freak""",,,,,No
1979,February 10,,"""Da Ya Think I'm Sexy?""",,,,,No
1979,March 10,,"""I Will Survive""",,,,,No
1979,March 24,,"""Tragedy""",,,,,No
1979,April 7,,"""I Will Survive""",,,,,No
1979,April 14,,"""What a Fool Believes""",,,,,No
1979,April 21,,"""Knock on Wood""",,,,,No
1979,April 28,,"""Heart of Glass""",,,,,No
1979,May 5,,"""Reunited""",,,,,No
1979,June 2,,"""Hot Stuff""",,,,,No
1979,June 9,,"""Love You Inside Out""",,,,,No
1979,June 16,,"""Hot Stuff""",,,,,No
1979,June 30,,"""Ring My Bell""",,,,,No
1979,July 14,,"""Bad Girls""",,,,,No
1979,August 18,,"""Good Times""",,,,,No
1979,August 25,,"""My Sharona""",,,,,No
1979,October 6,,"""Sad Eyes""",,,,,No
1979,October 13,,"""Don't Stop 'Til You Get Enough""",,,,,No
1979,October 20,,"""Rise""",,,,,No
1979,November 3,,"""Pop Muzik""",,,,,No
1979,November 10,,"""Heartache Tonight""",,,,,No
1979,November 17,,"""Still""",,,,,No
1979,November 24,,"""No More Tears (Enough Is Enough)""",,,,,No
1979,December 8,,"""Babe""",,,,,No
1979,December 22,,"""Escape (The Piña Colada Song)""",,,,,No
1979,Donna Summer,,10,,,,,No
1979,The Knack,,6,,,,,No
1979,Bee Gees,,5,,,,,No
1979,Rod Stewart,,4,,,,,No
1979,Gloria Gaynor,,3,,,,,No
1979,Anita Ward,,2,,,,,No
1979,The Doobie Brothers,,1,,,,,No
